modified	id	cve	ghsa	cvss	fixed	summary
2026-02-04	GHSA-2rvv-w9r2-rg7m	CVE-2021-24122	GHSA-2rvv-w9r2-rg7m	CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N	7.0.107, 8.5.60, 9.0.40, 10.0.0-M10	Information Disclosure in Apache Tomcat
2026-02-04	GHSA-27hp-xhwr-wr2m	CVE-2024-56337	GHSA-27hp-xhwr-wr2m		9.0.98, 10.1.34, 11.0.2	Apache Tomcat Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability
2025-11-05	GHSA-gqp3-2cvr-x8m3	CVE-2025-48989	GHSA-gqp3-2cvr-x8m3	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	9.0.108, 10.1.44, 11.0.10	Apache Tomcat Improper Resource Shutdown or Release vulnerability
2025-11-03	GHSA-f4qf-m5gf-8jm8	CVE-2024-21733	GHSA-f4qf-m5gf-8jm8	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N	8.5.64	Apache Tomcat vulnerable to Generation of Error Message Containing Sensitive Information
2025-10-29	GHSA-42wg-hm62-jcwg	CVE-2025-49124	GHSA-42wg-hm62-jcwg		9.0.106, 10.1.42, 11.0.8	Apache Tomcat installer for Windows has an untrusted search path vulnerability
2025-10-22	GHSA-xjgh-84hx-56c5	CVE-2017-12617	GHSA-xjgh-84hx-56c5	CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:H	7.0.82, 8.0.47, 8.5.23, 9.0.1	Unrestricted Upload of File with Dangerous Type Apache Tomcat
2025-10-22	GHSA-pjfr-qf3p-3q25	CVE-2017-12615	GHSA-pjfr-qf3p-3q25	CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:H	7.0.79	When running Apache Tomcat on Windows with HTTP PUTs enabled it was possible to upload a JSP file to the server
2025-08-08	GHSA-r6j3-px5g-cq3x	CVE-2023-45648	GHSA-r6j3-px5g-cq3x	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N	8.5.94, 9.0.81, 10.1.14, 11.0.0-M12	Apache Tomcat Improper Input Validation vulnerability
2025-08-08	GHSA-g8pj-r55q-5c2v	CVE-2023-42795	GHSA-g8pj-r55q-5c2v	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N	8.5.94, 9.0.81, 10.1.14, 11.0.0-M12	Apache Tomcat Incomplete Cleanup vulnerability
2025-04-09	GHSA-f98p-9pp6-7q6c	CVE-2008-1947	GHSA-f98p-9pp6-7q6c		5.5.27, 6.0.18	Apache Tomcat Cross-site scripting (XSS) vulnerability
